,Hashtag,Yes,Country
138,退出,8.0,CHN
139,疫情,8.0,CHN
140,高中,8.0,CHN
141,检测,7.0,CHN
142,上课,7.0,CHN
143,清华,7.0,CHN
144,数学,7.0,CHN
145,衣服,7.0,CHN
146,预告,7.0,CHN
147,科学,7.0,CHN
148,开学,7.0,CHN
149,教师,7.0,CHN
150,声音,7.0,CHN
151,会议,7.0,CHN
152,萌娃,7.0,CHN
153,年级,7.0,CHN
154,软件,7.0,CHN
155,停课,7.0,CHN
156,哥哥,7.0,CHN
157,防控,7.0,CHN
158,上网,6.0,CHN
159,假期,6.0,CHN
160,投影仪,6.0,CHN
161,手机,6.0,CHN
162,央企,6.0,CHN
163,屏幕,6.0,CHN
164,爸爸,6.0,CHN
165,宿舍,6.0,CHN
166,职业,6.0,CHN
167,体验,6.0,CHN
168,感悟,6.0,CHN
169,女孩,6.0,CHN
170,肺炎,6.0,CHN
171,期末,6.0,CHN
172,幼师,6.0,CHN
173,打卡,6.0,CHN
174,皇冠,6.0,CHN
175,空中,6.0,CHN
176,日记,6.0,CHN
177,问问,6.0,CHN
178,期末,6.0,CHN
179,攀枝花,6.0,CHN
180,交卷,6.0,CHN
181,妈妈,6.0,CHN
182,武汉,6.0,CHN
183,身体,6.0,CHN
184,烧烤,6.0,CHN
185,河北,6.0,CHN
186,音名,6.0,CHN
187,空中课堂,6.0,CHN
188,清华大学,5.0,CHN
189,专业,5.0,CHN
190,项目,5.0,CHN
191,测试,5.0,CHN
192,学期,5.0,CHN
193,快乐,5.0,CHN
194,英语,5.0,CHN
195,会议,5.0,CHN
196,基本功,5.0,CHN
197,电视,5.0,CHN
198,直播,5.0,CHN
199,转行,5.0,CHN
200,资源,5.0,CHN
201,同学,5.0,CHN
202,互填,5.0,CHN
203,上网,5.0,CHN
204,组织,5.0,CHN
205,中英文,5.0,CHN
206,校服,5.0,CHN
207,女生,5.0,CHN
208,主任,5.0,CHN
209,回放,5.0,CHN
210,太阳,5.0,CHN
211,在行,5.0,CHN
212,时长,5.0,CHN
213,抗疫,5.0,CHN
214,授课,5.0,CHN
215,不见,5.0,CHN
216,督导,5.0,CHN
217,难点,5.0,CHN
218,http,5.0,CHN
219,湖南,5.0,CHN
220,创意,5.0,CHN
221,中文,5.0,CHN
222,尴尬,5.0,CHN
223,课件,5.0,CHN
224,加油,5.0,CHN
225,教学,5.0,CHN
226,作业,5.0,CHN
227,服务器,5.0,CHN
228,直播,5.0,CHN
229,少儿,4.0,CHN
230,直播间,4.0,CHN
231,包子,4.0,CHN
232,学生,4.0,CHN
233,教育,4.0,CHN
234,高校,4.0,CHN
235,编导,4.0,CHN
236,布置,4.0,CHN
237,鼓捣,4.0,CHN
238,爱尔兰,4.0,CHN
239,跑步,4.0,CHN
240,微言,4.0,CHN
241,邹海,4.0,CHN
242,慢动作,4.0,CHN
243,复学,4.0,CHN
244,篮球,4.0,CHN
245,上网课,4.0,CHN
246,教练,4.0,CHN
247,丽江,4.0,CHN
248,小学生,4.0,CHN
249,街舞,4.0,CHN
250,分解,4.0,CHN
251,娃儿,4.0,CHN
252,课程,4.0,CHN
253,下课,4.0,CHN
254,学期,4.0,CHN
255,问卷,4.0,CHN
256,爵士舞,4.0,CHN
257,太难,4.0,CHN
258,一小,4.0,CHN
259,官方,4.0,CHN
260,学校,4.0,CHN
261,智慧,4.0,CHN
262,学院,4.0,CHN
263,孩子,4.0,CHN
264,教师,4.0,CHN
265,平板,4.0,CHN
266,姐妹,4.0,CHN
267,太难,4.0,CHN
268,短视,4.0,CHN
269,难受,4.0,CHN
270,答题,4.0,CHN
271,大学生,4.0,CHN
272,可怜,4.0,CHN
273,清华大学,4.0,CHN
274,老师,4.0,CHN
275,陪练,3.0,CHN
276,陪伴,3.0,CHN
277,腾讯,3.0,CHN
278,春季,3.0,CHN
279,名师,3.0,CHN
280,回答,3.0,CHN
281,肺炎,3.0,CHN
282,冠状,3.0,CHN
283,高校,3.0,CHN
284,福尔,3.0,CHN
285,仪式,3.0,CHN
286,辅导,3.0,CHN
287,单元,3.0,CHN
288,增长,3.0,CHN
289,精品,3.0,CHN
290,可爱,3.0,CHN
291,在用,3.0,CHN
292,测试,3.0,CHN
293,知识,3.0,CHN
294,绑定,3.0,CHN
295,观看,3.0,CHN
296,题目,3.0,CHN
297,网络,3.0,CHN
298,电脑,3.0,CHN
299,王老爷,3.0,CHN
300,复工,3.0,CHN
301,吐槽,3.0,CHN
302,超话,3.0,CHN
303,学堂,3.0,CHN
304,课堂,3.0,CHN
305,答案,3.0,CHN
306,授课,3.0,CHN
307,听课,3.0,CHN
308,朋友,3.0,CHN
309,吓人,3.0,CHN
310,回事,3.0,CHN
311,求助,3.0,CHN
312,悲伤,3.0,CHN
313,主观,3.0,CHN
314,民法典,3.0,CHN
315,监控,3.0,CHN
316,抓拍,3.0,CHN
317,阿里,3.0,CHN
318,十分钟,3.0,CHN
319,病毒,3.0,CHN
320,幼儿园,3.0,CHN
321,新型,3.0,CHN
322,感染,3.0,CHN
323,家里,3.0,CHN
324,小程,3.0,CHN
325,互动,3.0,CHN
326,截取,3.0,CHN
327,谢谢,3.0,CHN
328,共享,2.0,CHN
329,荷塘,2.0,CHN
330,旷课,2.0,CHN
331,曲园,2.0,CHN
332,有用,2.0,CHN
333,刘嵘,2.0,CHN
334,公式,2.0,CHN
335,测试题,2.0,CHN
336,悬浮,2.0,CHN
337,截图,2.0,CHN
338,作弊,2.0,CHN
339,三分钟,2.0,CHN
340,文学院,2.0,CHN
341,蛋糕,2.0,CHN
342,作业,2.0,CHN
343,四十,2.0,CHN
344,写作,2.0,CHN
345,计算机,2.0,CHN
346,学生证,2.0,CHN
347,声音,2.0,CHN
348,建筑,2.0,CHN
349,需求,2.0,CHN
350,手机,2.0,CHN
351,生日,2.0,CHN
352,哪位,2.0,CHN
353,拍照,2.0,CHN
354,大连,2.0,CHN
355,开启,2.0,CHN
356,不配,2.0,CHN
357,下雨,2.0,CHN
358,听讲,2.0,CHN
359,全程,2.0,CHN
360,桌面,2.0,CHN
361,学校,2.0,CHN
362,瓷器,2.0,CHN
363,雅思,2.0,CHN
364,不容,2.0,CHN
365,钢琴,2.0,CHN
366,错开,2.0,CHN
367,欺负,2.0,CHN
368,快乐,2.0,CHN
369,健身,2.0,CHN
370,恭喜,2.0,CHN
371,保存,2.0,CHN
372,转战,2.0,CHN
373,困难,2.0,CHN
374,论文,2.0,CHN
375,体验,2.0,CHN
376,干嘛,2.0,CHN
377,身份,2.0,CHN
378,好不容易,2.0,CHN
379,写作,2.0,CHN
380,看不到,2.0,CHN
381,疯狂,2.0,CHN
382,妹妹,2.0,CHN
383,辛苦,2.0,CHN
384,孩子,2.0,CHN
385,浪费,2.0,CHN
386,话说,2.0,CHN
387,代码,2.0,CHN
388,单纯,2.0,CHN
389,想开,2.0,CHN
390,补白,2.0,CHN
391,通宵,2.0,CHN
392,白天,2.0,CHN
393,开课,2.0,CHN
394,提议,2.0,CHN
395,大学,2.0,CHN
396,随便,2.0,CHN
397,长春,2.0,CHN
398,老人,2.0,CHN
399,双机,2.0,CHN
400,节奏,2.0,CHN
401,公开课,2.0,CHN
402,保护,2.0,CHN
403,当当,2.0,CHN
404,教授,2.0,CHN
405,音乐,2.0,CHN
406,记得,2.0,CHN
407,教材,2.0,CHN
408,起床,2.0,CHN
409,观看,2.0,CHN
410,学科,2.0,CHN
411,专业,2.0,CHN
412,办法,2.0,CHN
413,教学,2.0,CHN
414,愿望,2.0,CHN
415,小朋友,2.0,CHN
416,尉犁县,2.0,CHN
417,乐器,2.0,CHN
418,家庭,2.0,CHN
419,英语,2.0,CHN
420,上体,2.0,CHN
421,眼睛,2.0,CHN
422,眼病,2.0,CHN
423,感受,2.0,CHN
424,皇太极,2.0,CHN
425,直播,2.0,CHN
426,爆发式,2.0,CHN
427,主任医师,2.0,CHN
428,正确,2.0,CHN
429,成像,2.0,CHN
430,防治,2.0,CHN
431,寒假,2.0,CHN
432,中小学,2.0,CHN
433,许昌,2.0,CHN
434,班主任,2.0,CHN
435,武汉,2.0,CHN
436,路上,2.0,CHN
437,数学,2.0,CHN
438,沙雕,2.0,CHN
439,小李,2.0,CHN
440,睡衣,2.0,CHN
441,反射,2.0,CHN
442,中国电信,2.0,CHN
443,中国移动,2.0,CHN
444,中国联通,2.0,CHN
445,上学,2.0,CHN
446,优势,2.0,CHN
447,舒适,2.0,CHN
448,写作,2.0,CHN
449,原理,2.0,CHN
450,上海市,2.0,CHN
451,心情,2.0,CHN
452,年级,2.0,CHN
453,电视机,2.0,CHN
454,中学生,2.0,CHN
455,焦虑,2.0,CHN
456,视力,2.0,CHN
457,门类,2.0,CHN
458,vip,2.0,CHN
459,啊哈哈,2.0,CHN
460,网上,2.0,CHN
461,哥哥,2.0,CHN
462,健康,2.0,CHN
463,办公,2.0,CHN
464,上线,2.0,CHN
465,假期,2.0,CHN
466,符号,2.0,CHN
467,总理,2.0,CHN
468,会上,2.0,CHN
469,学期,2.0,CHN
470,金刚钻,2.0,CHN
471,道行,1.0,CHN
472,化成,1.0,CHN
473,体育课,1.0,CHN
474,刻薄,1.0,CHN
475,狗屁,1.0,CHN
476,刁钻,1.0,CHN
477,停课,1.0,CHN
478,都都,1.0,CHN
479,按着,1.0,CHN
480,长老,1.0,CHN
481,弟弟,1.0,CHN
482,线性,1.0,CHN
483,刁难,1.0,CHN
484,中财,1.0,CHN
485,太难,1.0,CHN
486,教会,1.0,CHN
487,函数,1.0,CHN
488,规矩,1.0,CHN
489,全身,1.0,CHN
490,旗号,1.0,CHN
491,镜头,1.0,CHN
492,细心,1.0,CHN
493,转发,1.0,CHN
494,规划,1.0,CHN
495,诚信,1.0,CHN
496,房子,1.0,CHN
497,批判,1.0,CHN
498,打着,1.0,CHN
499,放下,1.0,CHN
500,班主任,1.0,CHN
501,特殊,1.0,CHN
502,电脑,1.0,CHN
503,庆祝,1.0,CHN
504,父母,1.0,CHN
505,毕业论文,1.0,CHN
506,划水,1.0,CHN
507,龙虾,1.0,CHN
508,中午饭,1.0,CHN
509,大四,1.0,CHN
510,满意度,1.0,CHN
511,小朋友,1.0,CHN
512,中英,1.0,CHN
513,告别,1.0,CHN
514,课外,1.0,CHN
515,知识,1.0,CHN
516,孤军,1.0,CHN
517,启东市,1.0,CHN
518,恶心,1.0,CHN
519,殊不知,1.0,CHN
520,至理名言,1.0,CHN
521,批改,1.0,CHN
522,微笑,1.0,CHN
523,不安,1.0,CHN
524,学到,1.0,CHN
525,朋友,1.0,CHN
526,看看书,1.0,CHN
527,微博,1.0,CHN
528,闪闪,1.0,CHN
529,还好,1.0,CHN
530,学会,1.0,CHN
531,战和,1.0,CHN
532,环境,1.0,CHN
533,教育,1.0,CHN
534,荼毒,1.0,CHN
535,资料,1.0,CHN
536,毕业,1.0,CHN
537,早读,1.0,CHN
538,床上,1.0,CHN
539,刘磊,1.0,CHN
540,溜达,1.0,CHN
541,费劲,1.0,CHN
542,四大名著,1.0,CHN
543,上家,1.0,CHN
544,六年级,1.0,CHN
545,在教,1.0,CHN
546,疏离,1.0,CHN
547,育儿,1.0,CHN
548,停电,1.0,CHN
549,邯郸,1.0,CHN
550,无聊,1.0,CHN
551,上半身,1.0,CHN
552,直播间,1.0,CHN
553,死去活来,1.0,CHN
554,下半身,1.0,CHN
555,课表,1.0,CHN
556,简写,1.0,CHN
557,时事,1.0,CHN
558,落空,1.0,CHN
559,草鞋,1.0,CHN
560,妄想,1.0,CHN
